"","t","x","y","z","v","w"
"197",3.92,74.0137361418709,20.7451301595214,5.42177748706045,3.46416290540068,3.20487887478254
"198",3.94,73.9143757088823,20.8097905158964,5.45319374907597,3.46715073426297,3.20281348886549
"199",3.96,74.2537505132499,20.5290362917412,5.3940248803218,3.41275908433272,3.14783141270975
"200",3.98,74.0935403082371,20.6422495230334,5.43818846461508,3.42402526254502,3.15338307065549
"201",4,73.9385129900377,20.7510990163956,5.48145987221741,3.434572126932,3.15827354192318
"202",4.02,73.7290749931682,20.9031430596156,5.5364251192327,3.45225922553772,3.16972095192155
"203",4.04,73.6404000268491,20.9587456349578,5.56611191608135,3.45402676108236,3.16656804024508
"204",4.06,72.7692210092279,21.6475780675492,5.76457863777628,3.55997618124743,3.258792585404
"205",4.08,72.2965126272263,22.0095865463516,5.87712488862107,3.61187446456734,3.30152729203291
"206",4.1,72.3798315874719,21.9280734078825,5.87165656666345,3.59097023934454,3.27777625565144
"207",4.12,72.4282220401056,21.874099445497,5.8734753538116,3.57470954505171,3.25828671300973
"208",4.14,72.370499074965,21.9037870518328,5.89776616637891,3.57221533892377,3.25135224542433
"209",4.16,72.3740230912511,21.8850977504874,5.909102227245,3.5619110199551,3.23733266461645
"210",4.18,72.4883936294919,21.7794379139997,5.89690347469101,3.53757596965387,3.21059918085096
"211",4.2,72.0542771838924,22.108706129579,6.00263336119088,3.58389753842698,3.2479309122716
"212",4.22,71.6171643944008,22.4397349846332,6.10953517938972,3.63036387248066,3.28536606093672
"213",4.24,71.7792040111262,22.2963184957913,6.08760180991254,3.6000861830386,3.25342093958008
"214",4.26,71.3852505843776,22.592054235559,6.18566942187555,3.64075111576172,3.28553236532084
"215",4.28,71.4139957751755,22.5526339404455,6.19235045307224,3.62739778356311,3.26894263969202
"216",4.3,71.340094006571,22.5938072062111,6.22119019055108,3.62708551511398,3.26411044049821
"217",4.32,71.6943164363977,22.3017011386495,6.15813142121631,3.57342298393452,3.21134498169685
"218",4.34,71.4493170601105,22.4780694071703,6.22425256148667,3.59494165568242,3.22610137008226
"219",4.36,71.0222802558302,22.7988988557512,6.33088914166693,3.6394870470641,3.26148685883437
"220",4.38,71.4197678504397,22.473731025511,6.25832994858261,3.5809773367677,3.20462511364385
"221",4.4,70.8830458708223,22.8818720188834,6.38993521492168,3.63936985893798,3.25228886241984
"222",4.42,71.0941917376149,22.7003614878861,6.35728519479788,3.6039753541177,3.21622308481106
"223",4.44,71.5854392648382,22.304169778635,6.26401452739253,3.53473764160494,3.15003535728445
"224",4.46,71.1750680396372,22.6107715361696,6.36790823473388,3.57698463733353,3.1831229598894
"225",4.48,71.6499196477359,22.2275965896933,6.27766036837496,3.51019154413932,3.11929148690585
"226",4.5,71.2798296035136,22.5018480560901,6.37286630891442,3.54733074857088,3.14774970721556
"227",4.52,71.2313052542016,22.5225788061091,6.39667317686204,3.5444817107287,3.14075623410033
"228",4.54,70.7478713812939,22.8861110540641,6.51819936981957,3.5955451866921,3.18147976967041
"229",4.56,70.5862440044312,22.9946995305937,6.56770448534345,3.60648546673203,3.18672287925838
"230",4.58,70.943159732661,22.7018921927151,6.50250707812495,3.55458356629603,3.13651771443825
"231",4.6,70.7601053149565,22.8272775262905,6.55686097228457,3.56827866185791,3.1441627442075
"232",4.62,70.3067306259116,23.1654854902492,6.67282217716208,3.61518345745969,3.18102987752832
"233",4.64,70.6682571602903,22.8693939009198,6.60630567941443,3.56314397539622,3.130932062503
"234",4.66,69.5685095780425,23.7273603453377,6.87352184850367,3.69084213716376,3.23859723022114
"235",4.68,69.3032918915385,23.9153747835288,6.94796707071581,3.71410435858625,3.25467096680839
"236",4.7,69.1627191512744,24.0055635567103,6.99435681579139,3.7221659386016,3.25743781534702
"237",4.72,68.5061532879002,24.5023385873765,7.15979095434971,3.79318856305967,3.31523812886078
"238",4.74,67.8946283323564,24.9621720516745,7.31552986930961,3.85831733398493,3.36786287622455
"239",4.76,67.41276192435,25.3182749244818,7.44184345725659,3.90727808545264,3.40636763192177
"240",4.78,67.069818342417,25.5643049092146,7.53654957280782,3.9391723800387,3.42999766929238
"241",4.8,67.1138637652054,25.5091456039337,7.54279638612441,3.92467597706205,3.41327709162075
"242",4.82,67.8059726508857,24.9625011050001,7.40319362195679,3.83476281404165,3.33106353643427
"243",4.84,67.1282815562059,25.4724829694736,7.57667162601641,3.90723183020403,3.38978513262057
"244",4.86,66.0244575912181,26.3230725696698,7.85296164690547,4.03169665684544,3.49353698485092
"245",4.88,65.5634765023977,26.6592239172419,7.97732426708895,4.07716982180113,3.52887772936261
"246",4.9,65.1361510227155,26.968235214072,8.09437121298139,4.11841550114819,3.56055670004992
"247",4.92,64.6026309503357,27.359911616702,8.23707864867962,4.17219825523741,3.60305839377772
"248",4.94,64.1310277310722,27.7020997322089,8.3658203039776,4.21834573970976,3.63896658186602
"249",4.96,63.3540475440233,28.2843109178295,8.56814060248768,4.30091485084814,3.70625762561557
"250",4.98,63.1542302987883,28.4131425128603,8.63415866482063,4.3144751146069,3.71413185912328
"251",5,62.993752075326,28.5112847063319,8.69117750288293,4.32339074673255,3.71801952282311
"252",5.02,62.0526271491431,29.2212681797157,8.93557158306587,4.42497781095152,3.80153080129534
"253",5.04,62.1882617376761,29.0913454378607,8.92414276932705,4.39935392492646,3.77585271873221
"254",5.06,61.7522582517137,29.4015387616934,9.04785484145985,4.44029608886193,3.80726629942076
"255",5.08,61.2090126161922,29.7946483790361,9.19799240921472,4.49369336316536,3.84935366323111
"256",5.1,61.3641971007678,29.6492387535603,9.18239990300102,4.46590117315719,3.8219625438211
"257",5.12,61.3223063515095,29.6541036384045,9.21315139593922,4.46081387968439,3.81399882949306
"258",5.14,60.522462154332,30.2470668437874,9.42724451163211,4.54412979605152,3.88156019414852
"259",5.16,61.1129441436356,29.7747514315978,9.30983537819755,4.46747469700458,3.81260365156009
"260",5.18,60.9741638395752,29.8533545438608,9.36402294504364,4.47357023687389,3.81422066768481
"261",5.2,61.0121259239149,29.7970458450414,9.37599807168234,4.45950146165132,3.79867183642137
"262",5.22,60.9993865454136,29.779342965579,9.40004528269488,4.4512711539269,3.78810420108787
"263",5.24,60.7880910868117,29.9131383672968,9.47205180167339,4.46571355662517,3.79682519635998
